date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:11	23445/23445	URF---	200	added ('OK%20(cached)')	image/png		http://edit.www.imcreator.com/images/socialmedia/6youtube.png	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/edit.www.imcreator.com/images/socialmedia/6youtube.png	(from http://edit.www.imcreator.com/viewer/vbid-71afe2b8-sf9ixatx)
10:07:12	206/206	URF---	200	added ('OK%20(cached)')	image/png		http://edit.www.imcreator.com/images/ui_icons/delete_on.png	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/edit.www.imcreator.com/images/ui_icons/delete_on.png	(from http://edit.www.imcreator.com/viewer/vbid-71afe2b8-sf9ixatx)
10:07:12	265/265	URF---	200	added ('OK%20(cached)')	image/png		http://edit.www.imcreator.com/images/ui_icons/lightbox_arrow_left.png	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/edit.www.imcreator.com/images/ui_icons/lightbox_arrow_left.png	(from http://edit.www.imcreator.com/viewer/vbid-71afe2b8-sf9ixatx)
10:07:12	85535/85535	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22576a7966-14e1f%22	https://code.jquery.com/jquery-2.x-git.min.js	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/code.jquery.com/jquery-2.x-git.min.js	(from http://edit.www.imcreator.com/viewer/vbid-71afe2b8-sf9ixatx)
10:07:12	262/262	URF---	200	added ('OK%20(cached)')	image/png		http://edit.www.imcreator.com/images/ui_icons/lightbox_arrow_right.png	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/edit.www.imcreator.com/images/ui_icons/lightbox_arrow_right.png	(from http://edit.www.imcreator.com/viewer/vbid-71afe2b8-sf9ixatx)
10:07:13	0/0	UR-M-Z	416	error ('Requested%20range%20not%20satisfiable')	application/javascript	etag:%22eEdTyg%22	http://edit.www.imcreator.com/js/lightbox.js?v=1.3.9h	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/edit.www.imcreator.com/js/lightboxc2ba.js	(from http://edit.www.imcreator.com/viewer/vbid-71afe2b8-sf9ixatx)
10:07:13	0/0	UR-M-Z	416	error ('Requested%20range%20not%20satisfiable')	application/javascript	etag:%22eEdTyg%22	http://edit.www.imcreator.com/js/spimeengine.js?v=1.3.9h	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/edit.www.imcreator.com/js/spimeenginec2ba.js	(from http://edit.www.imcreator.com/viewer/vbid-71afe2b8-sf9ixatx)
10:07:14	1997/1997	---M--	200	added ('OK')	image/png	etag:%22eEdTyg%22	http://edit.www.imcreator.com/images/ui_icons/tooltip_circle.png	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/edit.www.imcreator.com/images/ui_icons/tooltip_circle.png	(from http://edit.www.imcreator.com/css/common.css?v=1.3.9h)
10:07:14	246030/246030	---MCZ	200	added ('OK')	image/svg+xml	etag:%22eEdTyg%22	http://edit.www.imcreator.com/fonts/HelveticaNeueLTW1G-Th.svg	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/edit.www.imcreator.com/fonts/HelveticaNeueLTW1G-Th.svg	(from http://edit.www.imcreator.com/css/common.css?v=1.3.9h)
10:07:14	1323/1323	--F---	200	added ('OK%20(cached)')	text/html		https://www.gravatar.com/avatar/?d=mm	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/www.gravatar.com/avatar/index0dfd.html	(from http://edit.www.imcreator.com/viewer/vbid-71afe2b8-sf9ixatx)
10:07:14	2453/2453	---M--	200	added ('OK')	image/png	etag:%22eEdTyg%22	http://edit.www.imcreator.com/images/ui_icons/tooltip_top_left.png	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/edit.www.imcreator.com/images/ui_icons/tooltip_top_left.png	(from http://edit.www.imcreator.com/css/common.css?v=1.3.9h)
10:07:14	1997/1997	URF---	200	added ('OK%20(cached)')	image/png		http://edit.www.imcreator.com/images/ui_icons/tooltip_circle.png	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/edit.www.imcreator.com/images/ui_icons/tooltip_circle.png	(from http://edit.www.imcreator.com/css/common.css?v=1.3.9h)
10:07:14	16440/16440	---MC-	200	added ('OK')	image/png	etag:%22eEdTyg%22	http://edit.www.imcreator.com/images/x_loader.gif	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/edit.www.imcreator.com/images/x_loader.png	(from http://edit.www.imcreator.com/css/common.css?v=1.3.9h)
10:07:14	2453/2453	URF---	200	added ('OK%20(cached)')	image/png		http://edit.www.imcreator.com/images/ui_icons/tooltip_top_left.png	C:/Users/walks/Desktop/Website%20clone/Overmountain%20Tactical/edit.www.imcreator.com/images/ui_icons/tooltip_top_left.png	(from http://edit.www.imcreator.com/css/common.css?v=1.3.9h)
